127.0.0.1, 2016-01-13 13:21:40, GET, /welcome/default/index, HTTP/1.1, 200, 5.792025
127.0.0.1, 2016-01-13 13:21:40, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001150
127.0.0.1, 2016-01-13 13:21:40, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000799
127.0.0.1, 2016-01-13 13:21:40, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003468
127.0.0.1, 2016-01-13 13:21:40, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001760
127.0.0.1, 2016-01-13 13:21:40, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001267
127.0.0.1, 2016-01-13 13:21:40, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000863
127.0.0.1, 2016-01-13 13:21:40, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000534
127.0.0.1, 2016-01-13 13:21:40, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000509
127.0.0.1, 2016-01-13 13:21:40, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000705
127.0.0.1, 2016-01-13 13:21:40, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000525
127.0.0.1, 2016-01-13 13:21:40, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000740
127.0.0.1, 2016-01-13 13:21:40, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.001077
127.0.0.1, 2016-01-13 13:21:40, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001659
127.0.0.1, 2016-01-13 13:21:40, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001009
127.0.0.1, 2016-01-13 13:21:40, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000532
127.0.0.1, 2016-01-13 13:21:40, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000408
127.0.0.1, 2016-01-13 13:22:14, GET, /admin/default/site, HTTP/1.1, 303, 0.084077
127.0.0.1, 2016-01-13 13:22:15, GET, /admin/default/index, HTTP/1.1, 200, 0.032698
127.0.0.1, 2016-01-13 13:22:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000266
127.0.0.1, 2016-01-13 13:22:18, POST, /admin/default/index, HTTP/1.1, 303, 0.046625
127.0.0.1, 2016-01-13 13:22:18, GET, /admin/default/site, HTTP/1.1, 200, 0.105598
127.0.0.1, 2016-01-13 13:22:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000404
127.0.0.1, 2016-01-13 13:22:18, POST, /admin/default/check_version, HTTP/1.1, 200, 0.403528
127.0.0.1, 2016-01-13 13:22:26, POST, /admin/default/enable/examples, HTTP/1.1, 200, 0.069275
127.0.0.1, 2016-01-13 13:22:29, POST, /admin/default/enable/examples, HTTP/1.1, 200, 0.050293
127.0.0.1, 2016-01-13 13:22:33, GET, /admin/default/uninstall/examples, HTTP/1.1, 200, 0.063004
127.0.0.1, 2016-01-13 13:22:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000356
127.0.0.1, 2016-01-13 13:22:36, POST, /admin/default/uninstall/examples, HTTP/1.1, 303, 0.270362
127.0.0.1, 2016-01-13 13:22:36, GET, /admin/default/site, HTTP/1.1, 200, 0.056446
127.0.0.1, 2016-01-13 13:22:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000280
127.0.0.1, 2016-01-13 13:22:39, GET, /admin/default/uninstall/welcome, HTTP/1.1, 200, 0.041374
127.0.0.1, 2016-01-13 13:22:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000249
127.0.0.1, 2016-01-13 13:22:40, POST, /admin/default/uninstall/welcome, HTTP/1.1, 303, 0.223157
127.0.0.1, 2016-01-13 13:22:40, GET, /admin/default/site, HTTP/1.1, 200, 0.050200
127.0.0.1, 2016-01-13 13:22:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000421
